title,body,accetto,non accetto
Il traffico e l'arbre magique - PND#34,"A Roma c’è molto traffico, quasi come a Los Angeles. Puoi risolvere questo problema per sempre, ma non solo: in qualunque posto arrivi trovi sempre parcheggio, in ogni città. In cambio, per tutta la vita e in qualunque contesto, devi portare al collo un arbre magique. Se le persone ti chiedono e/o ti prendono in giro, devi far finta di non averlo. Ovviamente l’arbre magique rimane su anche durante I rapporti sessuali",0,1
Guerra e bonsai – PND#22,"Hai la possibilità di abolire da un giorno all’altro tutti I conflitti di genere, razziali, religiosi al mondo. Gli esseri umani vivono in perfetta armonia. Devi però coltivare e non far morire un bonsai ginseng. Se lo dovessi far morire, scoppierebbero i più feroci conflitti.",1,0
La blatta PND#24,"Puoi essere immune a qualsiasi patologia grave del tuo corpo, ma devi convivere con una blatta gigante volante immortale, grande come il palmo di una mano, che vive nella tua stanza. Se qualcuno uccide la blatta, muori anche tu.",0,1
Lacci PND#17,"Vinci il premio Pulitzer, ma dovrai vivere per sempre con le scarpe slacciate e non potrai comprare scarpe senza lacci. I lacci devono essere lunghi e strisciare vistosamente per terra, così che le persone continuerebbero a dirti che hai le scarpe slacciate.",0,1
Barry White – PND#19,"Un giorno ti svegli e hai la capacità di non ingrassare nonostante la quantità di cibo che ingerisci. Lo stesso giorno vai allo specchio e ti accorgi, parlando con te stesso, che hai la voce di Barry White",1,0
La petite mort – PND#20,"Ogni volta che farai sesso avrai un orgasmo sempre migliore, ogni volta sempre più intenso e la persona con cui lo farai, proverà lo stesso orgasmo, ma vivrà un anno in meno.",1,0
Una sacher al giorno – PND#11,"Hai vinto la lotteria Italia, sono 100 miliardi di euro. Dal momento della vittoria devi mangiare una torta sacher al giorno, per forza, anche se i medici ti dicono che devi smettere di mangiarne per non morire.",1,0
Perfetti sconosciuti – PND#15,"Puoi ricevere uno stipendio mensile di 5000 euro, senza dover fare niente, se non una cosa: devi guardare ogni giorno la commedia di Paolo Genovese “Perfetti sconosciuti” alle 21. Non puoi saltare neanche un minuto, se ti addormenti ti revocano lo stipendio.",1,0
Il clima in una stanza – PND#26,"Puoi fermare la crisi climatica, la fermi ovunque tranne che nella tua stanza. Tutti gli effetti del cambiamento climatico sono lì.",1,0
Il carcere come redenzione – PND#13,"Matteo Salvini viene processato, viene condannato, va in carcere e la sua carriera politica finisce. Giorgia Meloni, però, diventa sindaca di Roma.",0,1
La mia Lazio – PND#15,"Paolo Genovese ha dichiarato che in ogni suo film c’è almeno un riferimento alla Lazio. Puoi provare a trovare I riferimenti alla Lazio in ogni film in cambio di 5 milioni di euro, ma se ne perdi uno ti cade un braccio.",1,0
Il cricket – PND#16,"Per il resto della tua vita non avrai più nessuno problema medico, di nessuno tipo. L’unica condizione è che tu non possa mai più praticare altri sport all’infuori del cricket e che tu debba praticare il cricket almeno quattro volte al mese.",1,0
La casa e il sale – PND#18,"Hai una casa di proprietà, stupenda, ma devi stare molto attento a non mangiare il sale: ogni chicco che consumi ti toglie cento euro dal tuo conto (anche un bagno nel mare è pericoloso).",1,0
Game of femori – PND#LIVE,"Puoi decidere chi mettere al governo in ogni paese del mondo, ma ogni volta che due persone a tua scelta dicono la parola “bagno”, ti rompi un femore. Non puoi avvisare quelle due persone.",0,1
Sanità privata – PND#25,"Ti trasferisci in Svizzera e hai un lavoro con cui guadagni 11000 euro netti al mese, ma la sanità è privata e qualsiasi prestazione medica ti costa minimo 25000 euro.",1,0
La Grande Bellezza – PND#28,"Puoi avere la casa di Jep Gambardella (de La Grande Bellezza), ma devi tenere in salone una gigantografia nuda di te.",1,0
Primato Nazionale – PND#29,"Viene stanziato un grande finanziamento all’editoria, specialmente rivolto ai giornali, tornano i lettori e c’è grande fermento. Tuttavia i rapporti con i partitti diventano più stretti e devi diventare capo redattore del Primato Nazionale. Ovviamente la linea editoriale deve rimanere la stessa.",1,0
